Dataset,Crossover Rate,Crossover,Mutation,Population Size,Generations,Mutation Rate,Best Distance,Execution Time (s)
berlin52.txt,1.0,pmx_crossover,swap_mutation,200,360,0.01,12424.35,2.23
berlin52.txt,0.1,pmx_crossover,swap_mutation,200,130,0.1,16177.49,0.58
berlin52.txt,0.5,pmx_crossover,swap_mutation,200,342,0.1,9998.85,2.05
berlin52.txt,1.0,pmx_crossover,swap_mutation,200,427,0.1,10369.82,2.72
berlin52.txt,0.1,pmx_crossover,swap_mutation,200,348,0.01,13693.91,1.55
berlin52.txt,0.5,pmx_crossover,swap_mutation,200,732,0.01,13584.63,3.43
berlin52.txt,1.0,pmx_crossover,swap_mutation,200,230,0.01,13380.49,1.28
berlin52.txt,0.1,pmx_crossover,swap_mutation,200,338,0.1,14628.89,1.48
berlin52.txt,0.5,pmx_crossover,swap_mutation,200,612,0.1,10651.79,2.96
berlin52.txt,1.0,pmx_crossover,swap_mutation,200,296,0.1,9785.85,1.68
berlin52.txt,0.1,pmx_crossover,swap_mutation,200,1999,0.01,11320.31,9.17
berlin52.txt,0.5,pmx_crossover,swap_mutation,200,1349,0.01,11898.11,7.22
berlin52.txt,1.0,pmx_crossover,swap_mutation,200,1059,0.01,11203.44,6.02
berlin52.txt,0.1,pmx_crossover,swap_mutation,200,1155,0.1,11854.24,5.01
berlin52.txt,0.5,pmx_crossover,swap_mutation,200,831,0.1,10534.13,4.0
berlin52.txt,1.0,pmx_crossover,swap_mutation,200,468,0.1,9138.96,2.62
berlin52.txt,0.1,pmx_crossover,swap_mutation,500,97,0.01,16149.25,1.1
berlin52.txt,0.5,pmx_crossover,swap_mutation,500,63,0.01,13217.76,0.84
berlin52.txt,1.0,pmx_crossover,swap_mutation,500,89,0.01,10640.74,1.33
berlin52.txt,0.1,pmx_crossover,swap_mutation,500,67,0.1,18716.41,0.75
berlin52.txt,0.5,pmx_crossover,swap_mutation,500,99,0.1,10789.29,1.23
berlin52.txt,1.0,pmx_crossover,swap_mutation,500,99,0.1,9948.54,1.47
berlin52.txt,0.1,pmx_crossover,swap_mutation,500,499,0.01,11722.53,5.31
berlin52.txt,0.5,pmx_crossover,swap_mutation,500,253,0.01,11320.67,3.14
berlin52.txt,1.0,pmx_crossover,swap_mutation,500,129,0.01,11080.43,1.86
berlin52.txt,0.1,pmx_crossover,swap_mutation,500,330,0.1,13013.54,3.69
berlin52.txt,0.5,pmx_crossover,swap_mutation,500,343,0.1,9624.5,4.32
berlin52.txt,1.0,pmx_crossover,swap_mutation,500,312,0.1,9178.82,4.5
berlin52.txt,0.1,pmx_crossover,swap_mutation,500,999,0.01,10084.72,10.54
berlin52.txt,0.5,pmx_crossover,swap_mutation,500,748,0.01,10559.61,9.12
berlin52.txt,1.0,pmx_crossover,swap_mutation,500,617,0.01,10407.97,8.85
berlin52.txt,0.1,pmx_crossover,swap_mutation,500,387,0.1,11904.08,4.23
berlin52.txt,0.5,pmx_crossover,swap_mutation,500,317,0.1,9947.64,4.31
berlin52.txt,1.0,pmx_crossover,swap_mutation,500,602,0.1,9455.3,9.7
berlin52.txt,0.1,pmx_crossover,swap_mutation,500,1999,0.01,10652.29,22.07
berlin52.txt,0.5,pmx_crossover,swap_mutation,500,1448,0.01,9716.21,17.29
berlin52.txt,1.0,pmx_crossover,swap_mutation,500,1158,0.01,8998.56,16.09
berlin52.txt,0.1,pmx_crossover,swap_mutation,500,1050,0.1,11373.01,11.73
berlin52.txt,0.5,pmx_crossover,swap_mutation,500,616,0.1,9659.46,8.27
berlin52.txt,1.0,pmx_crossover,swap_mutation,500,473,0.1,9095.63,7.4
berlin52.txt,0.1,pmx_crossover,scramble_mutation,100,50,0.01,22489.91,0.15
berlin52.txt,0.5,pmx_crossover,scramble_mutation,100,24,0.01,22642.67,0.09
berlin52.txt,1.0,pmx_crossover,scramble_mutation,100,57,0.01,15490.87,0.24
berlin52.txt,0.1,pmx_crossover,scramble_mutation,100,38,0.1,22191.82,0.1
berlin52.txt,0.5,pmx_crossover,scramble_mutation,100,34,0.1,19577.91,0.11
berlin52.txt,1.0,pmx_crossover,scramble_mutation,100,58,0.1,15488.72,0.23
berlin52.txt,0.1,pmx_crossover,scramble_mutation,100,249,0.01,20199.64,0.63
berlin52.txt,0.5,pmx_crossover,scramble_mutation,100,213,0.01,17550.38,0.58
berlin52.txt,1.0,pmx_crossover,scramble_mutation,100,120,0.01,14744.78,0.4
berlin52.txt,0.1,pmx_crossover,scramble_mutation,100,90,0.1,20764.49,0.2
berlin52.txt,0.5,pmx_crossover,scramble_mutation,100,218,0.1,15970.71,0.63
berlin52.txt,1.0,pmx_crossover,scramble_mutation,100,266,0.1,14551.87,0.83
berlin52.txt,0.1,pmx_crossover,scramble_mutation,100,204,0.01,22133.95,0.43
berlin52.txt,0.5,pmx_crossover,scramble_mutation,100,302,0.01,17650.03,0.82
berlin52.txt,1.0,pmx_crossover,scramble_mutation,100,146,0.01,14977.39,0.41
berlin52.txt,0.1,pmx_crossover,scramble_mutation,100,290,0.1,17946.38,0.64
berlin52.txt,0.5,pmx_crossover,scramble_mutation,100,618,0.1,13864.3,1.5
berlin52.txt,1.0,pmx_crossover,scramble_mutation,100,794,0.1,12106.7,2.16
berlin52.txt,0.1,pmx_crossover,scramble_mutation,100,1999,0.01,16260.65,4.12
berlin52.txt,0.5,pmx_crossover,scramble_mutation,100,815,0.01,14967.16,1.95
berlin52.txt,1.0,pmx_crossover,scramble_mutation,100,620,0.01,14251.35,1.69
berlin52.txt,0.1,pmx_crossover,scramble_mutation,100,871,0.1,17441.0,1.83
berlin52.txt,0.5,pmx_crossover,scramble_mutation,100,879,0.1,11044.29,2.12
berlin52.txt,1.0,pmx_crossover,scramble_mutation,100,964,0.1,12587.53,2.8
berlin52.txt,0.1,pmx_crossover,scramble_mutation,200,69,0.01,19798.04,0.3
berlin52.txt,0.5,pmx_crossover,scramble_mutation,200,65,0.01,16488.98,0.33
berlin52.txt,1.0,pmx_crossover,scramble_mutation,200,85,0.01,11557.5,0.5
berlin52.txt,0.1,pmx_crossover,scramble_mutation,200,35,0.1,22022.51,0.15
berlin52.txt,0.5,pmx_crossover,scramble_mutation,200,61,0.1,16687.86,0.33
berlin52.txt,1.0,pmx_crossover,scramble_mutation,200,74,0.1,14006.04,0.43
berlin52.txt,0.1,pmx_crossover,scramble_mutation,200,321,0.01,15363.41,1.31
berlin52.txt,0.5,pmx_crossover,scramble_mutation,200,368,0.01,16125.06,1.73
berlin52.txt,1.0,pmx_crossover,scramble_mutation,200,187,0.01,11819.16,1.04
berlin52.txt,0.1,pmx_crossover,scramble_mutation,200,155,0.1,19457.06,0.67
berlin52.txt,0.5,pmx_crossover,scramble_mutation,200,329,0.1,12649.01,1.62
berlin52.txt,1.0,pmx_crossover,scramble_mutation,200,275,0.1,11363.67,1.58
berlin52.txt,0.1,pmx_crossover,scramble_mutation,200,744,0.01,16148.98,3.06
berlin52.txt,0.5,pmx_crossover,scramble_mutation,200,370,0.01,14488.39,1.75
berlin52.txt,1.0,pmx_crossover,scramble_mutation,200,399,0.01,13730.19,2.3
berlin52.txt,0.1,pmx_crossover,scramble_mutation,200,425,0.1,17218.21,1.8
berlin52.txt,0.5,pmx_crossover,scramble_mutation,200,270,0.1,14596.75,1.34
berlin52.txt,1.0,pmx_crossover,scramble_mutation,200,422,0.1,10148.69,2.38
berlin52.txt,0.1,pmx_crossover,scramble_mutation,200,1544,0.01,15201.2,6.27
berlin52.txt,0.5,pmx_crossover,scramble_mutation,200,974,0.01,14554.96,4.61
berlin52.txt,1.0,pmx_crossover,scramble_mutation,200,698,0.01,13020.91,3.78
berlin52.txt,0.1,pmx_crossover,scramble_mutation,200,543,0.1,16587.55,2.3
berlin52.txt,0.5,pmx_crossover,scramble_mutation,200,721,0.1,13158.76,3.58
berlin52.txt,1.0,pmx_crossover,scramble_mutation,200,860,0.1,12272.48,4.78
berlin52.txt,0.1,pmx_crossover,scramble_mutation,500,42,0.01,19406.0,0.45
berlin52.txt,0.5,pmx_crossover,scramble_mutation,500,63,0.01,15948.16,0.78
berlin52.txt,1.0,pmx_crossover,scramble_mutation,500,85,0.01,12736.4,1.25
berlin52.txt,0.1,pmx_crossover,scramble_mutation,500,46,0.1,20354.08,0.52
berlin52.txt,0.5,pmx_crossover,scramble_mutation,500,99,0.1,11603.64,1.26
berlin52.txt,1.0,pmx_crossover,scramble_mutation,500,99,0.1,10425.21,1.46
berlin52.txt,0.1,pmx_crossover,scramble_mutation,500,157,0.01,18498.02,1.71
berlin52.txt,0.5,pmx_crossover,scramble_mutation,500,296,0.01,13226.12,3.6
berlin52.txt,1.0,pmx_crossover,scramble_mutation,500,195,0.01,10929.15,2.78
berlin52.txt,0.1,pmx_crossover,scramble_mutation,500,240,0.1,17033.2,2.59
berlin52.txt,0.5,pmx_crossover,scramble_mutation,500,260,0.1,11328.4,3.23
berlin52.txt,1.0,pmx_crossover,scramble_mutation,500,292,0.1,8803.7,4.28
berlin52.txt,0.1,pmx_crossover,scramble_mutation,500,646,0.01,16148.62,6.7
berlin52.txt,0.5,pmx_crossover,scramble_mutation,500,672,0.01,12305.8,8.15
berlin52.txt,1.0,pmx_crossover,scramble_mutation,500,264,0.01,11571.52,3.75
berlin52.txt,0.1,pmx_crossover,scramble_mutation,500,146,0.1,21285.42,1.59
berlin52.txt,0.5,pmx_crossover,scramble_mutation,500,245,0.1,10570.33,3.05
berlin52.txt,1.0,pmx_crossover,scramble_mutation,500,204,0.1,9356.17,2.96
berlin52.txt,0.1,pmx_crossover,scramble_mutation,500,1138,0.01,13937.46,11.77
berlin52.txt,0.5,pmx_crossover,scramble_mutation,500,1047,0.01,11860.38,12.66
berlin52.txt,1.0,pmx_crossover,scramble_mutation,500,611,0.01,10416.62,8.62
berlin52.txt,0.1,pmx_crossover,scramble_mutation,500,593,0.1,15992.3,6.45
berlin52.txt,0.5,pmx_crossover,scramble_mutation,500,654,0.1,10506.89,8.35
berlin52.txt,1.0,pmx_crossover,scramble_mutation,500,397,0.1,8442.05,5.83
